[2025-04-13T22:29:18.437Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1629 | Qtd: 250.00000000
[2025-04-13T22:31:19.103Z] 📤 VENDA | DOGEUSDT | Preço: 0.1629 | Lucro: -0.01
[2025-04-13T22:39:32.080Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1620 | Qtd: 250.00000000
[2025-04-13T22:42:37.418Z] 📤 VENDA | DOGEUSDT | Preço: 0.1620 | Lucro: -0.02
[2025-04-13T22:43:23.501Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1620 | Qtd: 250.00000000
[2025-04-13T22:45:44.804Z] 📤 VENDA | DOGEUSDT | Preço: 0.1620 | Lucro: 0.01
[2025-04-13T23:24:11.970Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1626 | Qtd: 250.00000000
[2025-04-13T23:27:22.040Z] 📤 VENDA | DOGEUSDT | Preço: 0.1627 | Lucro: 0.02
[2025-04-13T23:29:03.025Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1628 | Qtd: 250.00000000
[2025-04-13T23:29:47.955Z] 📤 VENDA | DOGEUSDT | Preço: 0.1627 | Lucro: -0.03
[2025-04-13T23:29:50.759Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1630 | Qtd: 250.00000000
[2025-04-13T23:32:01.286Z] 📤 VENDA | DOGEUSDT | Preço: 0.1627 | Lucro: -0.07
[2025-04-13T23:33:33.165Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1628 | Qtd: 250.00000000
[2025-04-13T23:36:15.020Z] 📤 VENDA | DOGEUSDT | Preço: 0.1625 | Lucro: -0.07
[2025-04-13T23:41:48.880Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1626 | Qtd: 250.00000000
[2025-04-13T23:42:06.314Z] 📤 VENDA | DOGEUSDT | Preço: 0.1623 | Lucro: -0.07
[2025-04-13T23:46:22.764Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1621 | Qtd: 250.00000000
[2025-04-13T23:54:30.187Z] 📤 VENDA | DOGEUSDT | Preço: 0.1627 | Lucro: 0.16
[2025-04-13T23:55:05.434Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1628 | Qtd: 250.00000000
[2025-04-13T23:57:26.296Z] 📤 VENDA | DOGEUSDT | Preço: 0.1628 | Lucro: 0.00
[2025-04-13T23:58:01.440Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1629 | Qtd: 250.00000000
[2025-04-13T23:58:11.788Z] 📤 VENDA | DOGEUSDT | Preço: 0.1627 | Lucro: -0.04
[2025-04-14T00:01:48.139Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1627 | Qtd: 250.00000000
[2025-04-14T00:02:48.797Z] 📤 VENDA | DOGEUSDT | Preço: 0.1625 | Lucro: -0.05
[2025-04-14T00:03:54.901Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1628 | Qtd: 250.00000000
[2025-04-14T00:06:20.158Z] 📤 VENDA | DOGEUSDT | Preço: 0.1624 | Lucro: -0.10
[2025-04-14T00:07:49.761Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1626 | Qtd: 250.00000000
[2025-04-14T00:33:49.783Z] 📤 VENDA | DOGEUSDT | Preço: 0.1658 | Lucro: 0.80
[2025-04-14T00:38:42.740Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1657 | Qtd: 250.00000000
[2025-04-14T00:42:51.735Z] 📤 VENDA | DOGEUSDT | Preço: 0.1658 | Lucro: 0.02
[2025-04-14T00:44:54.746Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1660 | Qtd: 250.00000000
[2025-04-14T00:46:42.154Z] 📤 VENDA | DOGEUSDT | Preço: 0.1656 | Lucro: -0.10
[2025-04-14T00:47:54.776Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1661 | Qtd: 250.00000000
[2025-04-14T00:48:16.719Z] 📤 VENDA | DOGEUSDT | Preço: 0.1654 | Lucro: -0.18
[2025-04-14T00:51:04.735Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1658 | Qtd: 250.00000000
[2025-04-14T00:51:05.668Z] 📤 VENDA | DOGEUSDT | Preço: 0.1652 | Lucro: -0.15
[2025-04-14T01:00:31.779Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1647 | Qtd: 250.00000000
[2025-04-14T01:02:44.741Z] 📤 VENDA | DOGEUSDT | Preço: 0.1647 | Lucro: 0.01
[2025-04-14T01:03:29.720Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1648 | Qtd: 250.00000000
[2025-04-14T01:05:21.891Z] 📤 VENDA | DOGEUSDT | Preço: 0.1646 | Lucro: -0.05
[2025-04-14T01:07:48.745Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1647 | Qtd: 250.00000000
[2025-04-14T01:16:48.338Z] 📤 VENDA | DOGEUSDT | Preço: 0.1651 | Lucro: 0.09
[2025-04-14T01:17:05.278Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1651 | Qtd: 250.00000000
[2025-04-14T01:17:14.793Z] 📤 VENDA | DOGEUSDT | Preço: 0.1651 | Lucro: -0.01
[2025-04-14T01:17:29.858Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1651 | Qtd: 250.00000000
[2025-04-14T01:19:39.736Z] 📤 VENDA | DOGEUSDT | Preço: 0.1650 | Lucro: -0.03
[2025-04-14T01:22:03.745Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1652 | Qtd: 250.00000000
[2025-04-14T01:24:34.739Z] 📤 VENDA | DOGEUSDT | Preço: 0.1651 | Lucro: -0.03
[2025-04-14T01:25:12.766Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1652 | Qtd: 250.00000000
[2025-04-14T01:25:24.718Z] 📤 VENDA | DOGEUSDT | Preço: 0.1651 | Lucro: -0.02
[2025-04-14T01:27:26.748Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1652 | Qtd: 250.00000000
[2025-04-14T01:34:42.878Z] 📤 VENDA | DOGEUSDT | Preço: 0.1658 | Lucro: 0.13
[2025-04-14T01:35:11.719Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1658 | Qtd: 250.00000000
[2025-04-14T01:35:37.720Z] 📤 VENDA | DOGEUSDT | Preço: 0.1657 | Lucro: -0.02
[2025-04-14T01:36:27.744Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1658 | Qtd: 250.00000000
[2025-04-14T01:39:27.631Z] 📤 VENDA | DOGEUSDT | Preço: 0.1657 | Lucro: -0.04
[2025-04-14T01:44:52.747Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1655 | Qtd: 250.00000000
[2025-04-14T01:49:03.741Z] 📤 VENDA | DOGEUSDT | Preço: 0.1655 | Lucro: 0.00
[2025-04-14T01:49:27.725Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1656 | Qtd: 250.00000000
[2025-04-14T01:50:18.743Z] 📤 VENDA | DOGEUSDT | Preço: 0.1655 | Lucro: -0.02
[2025-04-14T01:57:49.784Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1649 | Qtd: 250.00000000
[2025-04-14T01:58:37.743Z] 📤 VENDA | DOGEUSDT | Preço: 0.1649 | Lucro: -0.02
[2025-04-14T01:59:14.755Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1650 | Qtd: 250.00000000
[2025-04-14T02:01:38.752Z] 📤 VENDA | DOGEUSDT | Preço: 0.1649 | Lucro: -0.02
[2025-04-14T02:04:52.749Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1649 | Qtd: 250.00000000
[2025-04-14T02:05:57.772Z] 📤 VENDA | DOGEUSDT | Preço: 0.1648 | Lucro: -0.02
[2025-04-14T02:07:25.766Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1648 | Qtd: 250.00000000
[2025-04-14T02:07:42.730Z] 📤 VENDA | DOGEUSDT | Preço: 0.1648 | Lucro: -0.01
[2025-04-14T02:08:35.786Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1648 | Qtd: 250.00000000
[2025-04-14T02:12:17.747Z] 📤 VENDA | DOGEUSDT | Preço: 0.1652 | Lucro: 0.09
[2025-04-14T02:15:48.789Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1652 | Qtd: 250.00000000
[2025-04-14T02:19:17.744Z] 📤 VENDA | DOGEUSDT | Preço: 0.1654 | Lucro: 0.04
[2025-04-14T02:20:43.943Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1654 | Qtd: 250.00000000
[2025-04-14T02:37:42.911Z] 📤 VENDA | DOGEUSDT | Preço: 0.1688 | Lucro: 0.84
[2025-04-14T02:39:01.752Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1689 | Qtd: 250.00000000
[2025-04-14T02:41:03.795Z] 📤 VENDA | DOGEUSDT | Preço: 0.1690 | Lucro: 0.02
[2025-04-14T02:41:14.719Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1690 | Qtd: 250.00000000
[2025-04-14T02:41:58.752Z] 📤 VENDA | DOGEUSDT | Preço: 0.1690 | Lucro: -0.02
[2025-04-14T02:42:17.731Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1691 | Qtd: 250.00000000
[2025-04-14T02:42:31.726Z] 📤 VENDA | DOGEUSDT | Preço: 0.1673 | Lucro: -0.43
[2025-04-14T02:50:01.274Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1673 | Qtd: 250.00000000
[2025-04-14T02:50:08.702Z] 📤 VENDA | DOGEUSDT | Preço: 0.1672 | Lucro: -0.04
[2025-04-14T02:52:44.733Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1671 | Qtd: 250.00000000
[2025-04-14T02:53:43.903Z] 📤 VENDA | DOGEUSDT | Preço: 0.1669 | Lucro: -0.05
[2025-04-14T03:01:21.867Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1666 | Qtd: 250.00000000
[2025-04-14T03:01:36.704Z] 📤 VENDA | DOGEUSDT | Preço: 0.1666 | Lucro: -0.01
[2025-04-14T03:01:47.696Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1666 | Qtd: 250.00000000
[2025-04-14T03:02:02.704Z] 📤 VENDA | DOGEUSDT | Preço: 0.1665 | Lucro: -0.02
[2025-04-14T03:02:05.658Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1666 | Qtd: 250.00000000
[2025-04-14T03:02:10.649Z] 📤 VENDA | DOGEUSDT | Preço: 0.1666 | Lucro: -0.01
[2025-04-14T03:03:36.848Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1666 | Qtd: 250.00000000
[2025-04-14T03:04:19.702Z] 📤 VENDA | DOGEUSDT | Preço: 0.1665 | Lucro: -0.02
[2025-04-14T03:08:15.771Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1663 | Qtd: 250.00000000
[2025-04-14T03:10:51.715Z] 📤 VENDA | DOGEUSDT | Preço: 0.1660 | Lucro: -0.08
[2025-04-14T03:16:50.760Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1658 | Qtd: 250.00000000
[2025-04-14T03:18:20.731Z] 📤 VENDA | DOGEUSDT | Preço: 0.1658 | Lucro: -0.00
[2025-04-14T03:20:11.740Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1658 | Qtd: 250.00000000
[2025-04-14T03:24:11.718Z] 📤 VENDA | DOGEUSDT | Preço: 0.1658 | Lucro: 0.00
[2025-04-14T03:30:23.709Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1656 | Qtd: 250.00000000
[2025-04-14T03:33:19.017Z] 📤 VENDA | DOGEUSDT | Preço: 0.1656 | Lucro: -0.00
[2025-04-14T03:33:52.683Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1657 | Qtd: 250.00000000
[2025-04-14T03:34:25.749Z] 📤 VENDA | DOGEUSDT | Preço: 0.1657 | Lucro: -0.01
[2025-04-14T03:34:59.848Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1657 | Qtd: 250.00000000
[2025-04-14T03:39:51.712Z] 📤 VENDA | DOGEUSDT | Preço: 0.1659 | Lucro: 0.05
[2025-04-14T03:44:54.701Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1658 | Qtd: 250.00000000
[2025-04-14T03:50:54.705Z] 📤 VENDA | DOGEUSDT | Preço: 0.1656 | Lucro: -0.04
[2025-04-14T03:59:52.700Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1654 | Qtd: 250.00000000
[2025-04-14T04:05:50.698Z] 📤 VENDA | DOGEUSDT | Preço: 0.1657 | Lucro: 0.06
[2025-04-14T04:06:07.677Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1658 | Qtd: 250.00000000
[2025-04-14T04:08:38.828Z] 📤 VENDA | DOGEUSDT | Preço: 0.1657 | Lucro: -0.01
[2025-04-14T04:09:13.673Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1658 | Qtd: 250.00000000
[2025-04-14T04:09:38.703Z] 📤 VENDA | DOGEUSDT | Preço: 0.1657 | Lucro: -0.02
[2025-04-14T04:18:42.834Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1652 | Qtd: 250.00000000
[2025-04-14T04:26:36.703Z] 📤 VENDA | DOGEUSDT | Preço: 0.1657 | Lucro: 0.12
[2025-04-14T04:27:43.847Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1658 | Qtd: 250.00000000
[2025-04-14T04:33:02.757Z] 📤 VENDA | DOGEUSDT | Preço: 0.1659 | Lucro: 0.02
[2025-04-14T04:36:35.699Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1659 | Qtd: 250.00000000
[2025-04-14T05:00:14.712Z] 📤 VENDA | DOGEUSDT | Preço: 0.1676 | Lucro: 0.41
[2025-04-14T05:02:20.710Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1677 | Qtd: 250.00000000
[2025-04-14T05:02:33.678Z] 📤 VENDA | DOGEUSDT | Preço: 0.1676 | Lucro: -0.01
[2025-04-14T05:05:40.821Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1675 | Qtd: 250.00000000
[2025-04-14T05:08:35.841Z] 📤 VENDA | DOGEUSDT | Preço: 0.1673 | Lucro: -0.06
